feature,shap_mean,modelo,target
val_pld_brl_mwh,7.914829234541036,Baseline_Ridge,lcoh_s2_brl_kg
fator_coff_pct,2.7818242167453593,Baseline_Ridge,lcoh_s2_brl_kg
val_coff_mwmed,2.6984550888381764,Baseline_Ridge,lcoh_s2_brl_kg
ano,1.7832747086768075,Baseline_Ridge,lcoh_s2_brl_kg
coff_media_30d,1.7582693332379093,Baseline_Ridge,lcoh_s2_brl_kg
mes,1.6942089670404916,Baseline_Ridge,lcoh_s2_brl_kg
coff_media_24h,1.4214800037480808,Baseline_Ridge,lcoh_s2_brl_kg
fcoff_media_24h,1.272453697439282,Baseline_Ridge,lcoh_s2_brl_kg
ghi_wm2,0.6055183411369982,Baseline_Ridge,lcoh_s2_brl_kg
coff_lag_2h,0.5997641692261806,Baseline_Ridge,lcoh_s2_brl_kg
vento_ms,0.478658340255454,Baseline_Ridge,lcoh_s2_brl_kg
is_fim_semana,0.456517076005835,Baseline_Ridge,lcoh_s2_brl_kg
estado_cod,0.44926591524542153,Baseline_Ridge,lcoh_s2_brl_kg
pld_lag_7d,0.4219729407124618,Baseline_Ridge,lcoh_s2_brl_kg
pld_media_7d,0.3669084595764618,Baseline_Ridge,lcoh_s2_brl_kg
coff_lag_7d,0.36257987376311684,Baseline_Ridge,lcoh_s2_brl_kg
hora,0.2240196692051907,Baseline_Ridge,lcoh_s2_brl_kg
coff_lag_1h,0.19877044630891658,Baseline_Ridge,lcoh_s2_brl_kg
coff_media_7d,0.19721979383603083,Baseline_Ridge,lcoh_s2_brl_kg
pld_media_24h,0.16446342869983424,Baseline_Ridge,lcoh_s2_brl_kg
pld_lag_24h,0.11341147540830425,Baseline_Ridge,lcoh_s2_brl_kg
coff_lag_24h,0.10514738882109875,Baseline_Ridge,lcoh_s2_brl_kg
coff_lag_6h,0.08145125986668283,Baseline_Ridge,lcoh_s2_brl_kg
dia_semana,0.05756038650147448,Baseline_Ridge,lcoh_s2_brl_kg
periodo_dia_cod,0.006159391514859341,Baseline_Ridge,lcoh_s2_brl_kg
is_seca,0.0016986846193908754,Baseline_Ridge,lcoh_s2_brl_kg
