feature,shap_mean,modelo,target
estado_cod,3.8278875211260215,LightGBM,lcoh_s1_brl_kg
coff_media_30d,3.058098662636283,LightGBM,lcoh_s1_brl_kg
coff_media_7d,0.8105765333766211,LightGBM,lcoh_s1_brl_kg
mes,0.23066546691343986,LightGBM,lcoh_s1_brl_kg
ano,0.18496244160825237,LightGBM,lcoh_s1_brl_kg
pld_media_7d,0.11676610032062483,LightGBM,lcoh_s1_brl_kg
fator_coff_pct,0.037301945767317546,LightGBM,lcoh_s1_brl_kg
val_coff_mwmed,0.028014547400847415,LightGBM,lcoh_s1_brl_kg
pld_media_24h,0.027102114072524715,LightGBM,lcoh_s1_brl_kg
fcoff_media_24h,0.02692052327558747,LightGBM,lcoh_s1_brl_kg
coff_media_24h,0.025437988434354266,LightGBM,lcoh_s1_brl_kg
is_seca,0.017352919262724878,LightGBM,lcoh_s1_brl_kg
val_pld_brl_mwh,0.006707253151989893,LightGBM,lcoh_s1_brl_kg
pld_lag_7d,0.0062481211102275325,LightGBM,lcoh_s1_brl_kg
ghi_wm2,0.0046861111203650285,LightGBM,lcoh_s1_brl_kg
coff_lag_24h,0.004448586707747804,LightGBM,lcoh_s1_brl_kg
coff_lag_7d,0.0037809925610883814,LightGBM,lcoh_s1_brl_kg
vento_ms,0.0036296067638218253,LightGBM,lcoh_s1_brl_kg
dia_semana,0.003175906606054469,LightGBM,lcoh_s1_brl_kg
coff_lag_1h,0.002618639500027234,LightGBM,lcoh_s1_brl_kg
coff_lag_2h,0.0024335676895048254,LightGBM,lcoh_s1_brl_kg
pld_lag_24h,0.0021841497320872756,LightGBM,lcoh_s1_brl_kg
coff_lag_6h,0.001965303897656358,LightGBM,lcoh_s1_brl_kg
hora,0.0003809042649711955,LightGBM,lcoh_s1_brl_kg
is_fim_semana,0.0002847479107847827,LightGBM,lcoh_s1_brl_kg
periodo_dia_cod,8.286475412929745e-06,LightGBM,lcoh_s1_brl_kg
