feature,shap_mean,modelo,target
estado_cod,4.028934,XGBoost,lcoh_s1_brl_kg
coff_media_30d,3.122669,XGBoost,lcoh_s1_brl_kg
coff_media_7d,0.40259644,XGBoost,lcoh_s1_brl_kg
mes,0.24120122,XGBoost,lcoh_s1_brl_kg
ano,0.2158377,XGBoost,lcoh_s1_brl_kg
pld_media_7d,0.10594037,XGBoost,lcoh_s1_brl_kg
pld_media_24h,0.06033238,XGBoost,lcoh_s1_brl_kg
fator_coff_pct,0.035451945,XGBoost,lcoh_s1_brl_kg
coff_media_24h,0.031001333,XGBoost,lcoh_s1_brl_kg
val_coff_mwmed,0.02597324,XGBoost,lcoh_s1_brl_kg
fcoff_media_24h,0.024715204,XGBoost,lcoh_s1_brl_kg
is_seca,0.018545827,XGBoost,lcoh_s1_brl_kg
pld_lag_7d,0.0059176204,XGBoost,lcoh_s1_brl_kg
val_pld_brl_mwh,0.005906352,XGBoost,lcoh_s1_brl_kg
coff_lag_24h,0.0046233525,XGBoost,lcoh_s1_brl_kg
vento_ms,0.0044608735,XGBoost,lcoh_s1_brl_kg
ghi_wm2,0.004101109,XGBoost,lcoh_s1_brl_kg
coff_lag_1h,0.003910034,XGBoost,lcoh_s1_brl_kg
pld_lag_24h,0.0037475224,XGBoost,lcoh_s1_brl_kg
dia_semana,0.0027089738,XGBoost,lcoh_s1_brl_kg
coff_lag_7d,0.0023903232,XGBoost,lcoh_s1_brl_kg
coff_lag_2h,0.0013721527,XGBoost,lcoh_s1_brl_kg
coff_lag_6h,0.00112197,XGBoost,lcoh_s1_brl_kg
hora,0.0010262761,XGBoost,lcoh_s1_brl_kg
periodo_dia_cod,0.00077076274,XGBoost,lcoh_s1_brl_kg
is_fim_semana,0.00020420694,XGBoost,lcoh_s1_brl_kg
